epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,2507,0.9408,0.597,1.26661,0.81875,0.82639,0.9024,0.56608,1.48818,0.92029,2.04885,0.0008813,0.0008813,0.0008813
115,2530.97,0.92155,0.56418,1.22952,0.95804,0.79276,0.91642,0.55535,1.45106,0.96049,2.05581,0.0008714,0.0008714,0.0008714
116,2555.14,0.91239,0.55972,1.24115,0.83556,0.8469,0.92176,0.58032,1.41476,0.873,1.95103,0.0008615,0.0008615,0.0008615
117,2579.09,0.91837,0.55556,1.2609,0.89313,0.87052,0.94265,0.56113,1.52451,0.86749,2.16884,0.0008516,0.0008516,0.0008516
118,2603.1,0.94006,0.57022,1.25442,0.88582,0.85417,0.92821,0.59343,1.44207,0.8474,2.04406,0.0008417,0.0008417,0.0008417
119,2627.07,0.9531,0.59018,1.27409,0.86529,0.82639,0.9063,0.57873,1.44159,0.97896,1.99599,0.0008318,0.0008318,0.0008318
120,2651.13,0.92487,0.58655,1.2585,0.90996,0.84223,0.91366,0.57299,1.42856,0.95308,2.0053,0.0008219,0.0008219,0.0008219
121,2675.17,0.89773,0.56498,1.2385,0.89066,0.86806,0.92688,0.58749,1.41735,0.9075,1.99419,0.000812,0.000812,0.000812
122,2699.18,0.90133,0.54662,1.25653,0.8833,0.77778,0.90336,0.54448,1.45145,1.01689,1.98753,0.0008021,0.0008021,0.0008021
123,2723.13,0.9103,0.58421,1.25656,0.88572,0.86111,0.94164,0.59968,1.41055,0.85834,1.97558,0.0007922,0.0007922,0.0007922
124,2747.1,0.87754,0.5398,1.2254,0.97473,0.77778,0.93869,0.58356,1.43092,0.99765,1.98184,0.0007823,0.0007823,0.0007823
125,2771.08,0.88333,0.54877,1.217,0.95058,0.8014,0.94042,0.58809,1.37658,0.96834,1.94312,0.0007724,0.0007724,0.0007724
126,2795.16,0.91166,0.56743,1.25228,0.90233,0.85417,0.92723,0.56772,1.49772,1.01194,2.06652,0.0007625,0.0007625,0.0007625
127,2819.64,0.90388,0.56219,1.23892,0.99096,0.76124,0.92815,0.57419,1.49813,0.90955,2.07324,0.0007526,0.0007526,0.0007526
128,2845.22,0.86419,0.53418,1.22294,0.87468,0.87249,0.93274,0.58439,1.43478,0.92754,2.00708,0.0007427,0.0007427,0.0007427
129,2869.46,0.86476,0.55037,1.19458,0.75655,0.77778,0.8554,0.54484,1.41828,1.14552,1.98579,0.0007328,0.0007328,0.0007328
130,2894.27,0.8962,0.55082,1.24074,0.87458,0.87168,0.91213,0.587,1.38617,0.91386,1.95896,0.0007229,0.0007229,0.0007229
131,2918.67,0.84511,0.53745,1.21207,0.88949,0.83847,0.91826,0.60476,1.36401,1.03961,1.96735,0.000713,0.000713,0.000713
132,2942.82,0.84605,0.5447,1.22506,0.89773,0.85339,0.91116,0.60347,1.36335,1.0343,1.93196,0.0007031,0.0007031,0.0007031
133,2967.01,0.90524,0.59002,1.22272,0.89042,0.86111,0.93064,0.59938,1.37607,0.97938,1.96218,0.0006932,0.0006932,0.0006932
134,2991.7,0.86415,0.53681,1.20889,0.88494,0.85455,0.92942,0.57474,1.40136,1.03554,1.9955,0.0006833,0.0006833,0.0006833
135,3016.05,0.85876,0.52666,1.21321,0.80021,0.86806,0.9066,0.5809,1.45827,1.03735,2.05818,0.0006734,0.0006734,0.0006734
136,3040.24,0.86844,0.53187,1.22371,0.90047,0.8168,0.91478,0.58322,1.46447,1.05832,2.03398,0.0006635,0.0006635,0.0006635
137,3064.04,0.87472,0.54078,1.23037,0.89106,0.85417,0.89551,0.55464,1.53853,1.01598,2.14653,0.0006536,0.0006536,0.0006536
